period,region,con,arv_count
2013-03,Europe,Rep of Ireland,2973
2013-03,Europe,Russian Federation (CIS),8189
2013-03,Europe,Spain,3590
2013-03,Europe,Sweden,5906
2013-03,Europe,Switzerland,6273
2013-03,Europe,Turkey,1922
2013-03,Europe,UK,63467
2013-03,Europe,Other Countries in Eastern Europe,8705
2013-03,Europe,Other Countries in Western Europe,1910
2013-03,Oceania,Australia,80691
2013-03,Oceania,New Zealand,9267
2013-03,Oceania,Other Countries in Oceania,734
2013-03,Africa,Egypt,398
2013-03,Africa,Mauritius,594
2013-03,Africa,South Africa (Rep of),3545
2013-03,Africa,Other Countries in Africa,1769
2013-03,Not Stated,Not Stated,281
2013-04,Americas,Canada,11428
2013-04,Americas,USA,44394
2013-04,Americas,Other Countries in Americas,6553
2013-04,Asia,Brunei Darussalam,3484
2013-04,Asia,Indonesia,220210
2013-04,Asia,Malaysia,75222
2013-04,Asia,Myanmar,13134
2013-04,Asia,Philippines,77386
2013-04,Asia,Thailand,50881
2013-04,Asia,Vietnam,30492
2013-04,Asia,Other Countries in Southeast Asia,5351
2013-04,Asia,China,254274
2013-04,Asia,Taiwan,24855
2013-04,Asia,Japan,58235
2013-04,Asia,South Korea,33458
2013-04,Asia,Other Countries in North Asia,553
2013-04,Asia,Bangladesh,9797
2013-04,Asia,India,81090
2013-04,Asia,Nepal,1276
2013-04,Asia,Pakistan,1982
2013-04,Asia,Sri Lanka,13087
2013-04,Asia,Other Countries in South Asia,642
2013-04,Asia,Iran,759
2013-04,Asia,Israel,1082
2013-04,Asia,Kuwait,367
2013-04,Asia,Saudi Arabia,696
2013-04,Asia,United Arab Emirates,1597
2013-04,Asia,Other Countries in West Asia,1235
2013-04,Europe,Austria,1871
2013-04,Europe,Belgium &  Luxembourg,2104
2013-04,Europe,Denmark,2759
2013-04,Europe,Finland,2476
2013-04,Europe,France,17271
2013-04,Europe,Germany,20825
2013-04,Europe,Greece,602
2013-04,Europe,Italy,5210
2013-04,Europe,Netherlands,7580
2013-04,Europe,Norway,3222
2013-04,Europe,Poland,2179
2013-04,Europe,Rep of Ireland,2357
2013-04,Europe,Russian Federation (CIS),6806
2013-04,Europe,Spain,2778
2013-04,Europe,Sweden,3864
2013-04,Europe,Switzerland,6082
2013-04,Europe,Turkey,1741
2013-04,Europe,UK,48883
2013-04,Europe,Other Countries in Eastern Europe,6337
2013-04,Europe,Other Countries in Western Europe,1501
2013-04,Oceania,Australia,86789
2013-04,Oceania,New Zealand,10814
2013-04,Oceania,Other Countries in Oceania,714
2013-04,Africa,Egypt,472
2013-04,Africa,Mauritius,785
2013-04,Africa,South Africa (Rep of),2852
2013-04,Africa,Other Countries in Africa,1613
2013-04,Not Stated,Not Stated,239
2013-05,Americas,Canada,9913
2013-05,Americas,USA,40854
2013-05,Americas,Other Countries in Americas,5023
2013-05,Asia,Brunei Darussalam,4350
2013-05,Asia,Indonesia,252870
2013-05,Asia,Malaysia,87858
2013-05,Asia,Myanmar,8573
2013-05,Asia,Philippines,81255
2013-05,Asia,Thailand,45228
2013-05,Asia,Vietnam,29953
